Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[disease]	Characteristics[individual]	Characteristics[organism part]	Characteristics[cell type]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[infect]	Factor Value[sampling time point]	Unit[time unit]	Factor Value[disease]	Factor Value[organism part]
Sample 22	ERS4146128	SAMEA6380041	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 22	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 22	sequencing assay	ERX3729454	dpi10_acute3_R2.fastq.gz	dpi10_acute3_R2.fastq.gz	ERR3728274	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3728274/ERR3728274_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 23	ERS4146129	SAMEA6380042	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 23	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 23	sequencing assay	ERX3729455	dpi10_acute4_R1.fastq.gz	dpi10_acute4_R1.fastq.gz	ERR3728275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/005/ERR3728275/ERR3728275_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 23	ERS4146129	SAMEA6380042	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 23	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 23	sequencing assay	ERX3729455	dpi10_acute4_R2.fastq.gz	dpi10_acute4_R2.fastq.gz	ERR3728275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/005/ERR3728275/ERR3728275_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 24	ERS4146130	SAMEA6380043	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 24	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 24	sequencing assay	ERX3729456	dpi10_acute5_R1.fastq.gz	dpi10_acute5_R1.fastq.gz	ERR3728276	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/006/ERR3728276/ERR3728276_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 24	ERS4146130	SAMEA6380043	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 24	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 24	sequencing assay	ERX3729456	dpi10_acute5_R2.fastq.gz	dpi10_acute5_R2.fastq.gz	ERR3728276	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/006/ERR3728276/ERR3728276_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 25	ERS4146131	SAMEA6380044	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 25	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 25	sequencing assay	ERX3729457	dpi10_chronic1_R1.fastq.gz	dpi10_chronic1_R1.fastq.gz	ERR3728277	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/007/ERR3728277/ERR3728277_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 25	ERS4146131	SAMEA6380044	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 25	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 25	sequencing assay	ERX3729457	dpi10_chronic1_R2.fastq.gz	dpi10_chronic1_R2.fastq.gz	ERR3728277	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/007/ERR3728277/ERR3728277_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 26	ERS4146132	SAMEA6380045	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 26	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 26	sequencing assay	ERX3729458	dpi10_chronic2_R1.fastq.gz	dpi10_chronic2_R1.fastq.gz	ERR3728278	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728278/ERR3728278_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 26	ERS4146132	SAMEA6380045	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 26	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 26	sequencing assay	ERX3729458	dpi10_chronic2_R2.fastq.gz	dpi10_chronic2_R2.fastq.gz	ERR3728278	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728278/ERR3728278_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 27	ERS4146133	SAMEA6380046	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 27	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 27	sequencing assay	ERX3729459	dpi10_chronic3_R1.fastq.gz	dpi10_chronic3_R1.fastq.gz	ERR3728279	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728279/ERR3728279_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 27	ERS4146133	SAMEA6380046	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 27	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 27	sequencing assay	ERX3729459	dpi10_chronic3_R2.fastq.gz	dpi10_chronic3_R2.fastq.gz	ERR3728279	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728279/ERR3728279_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 28	ERS4146134	SAMEA6380047	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 28	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 28	sequencing assay	ERX3729460	dpi10_chronic4_R1.fastq.gz	dpi10_chronic4_R1.fastq.gz	ERR3728280	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728280/ERR3728280_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 28	ERS4146134	SAMEA6380047	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 28	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 28	sequencing assay	ERX3729460	dpi10_chronic4_R2.fastq.gz	dpi10_chronic4_R2.fastq.gz	ERR3728280	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728280/ERR3728280_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 29	ERS4146135	SAMEA6380048	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 29	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 29	sequencing assay	ERX3729461	dpi10_chronic5_R1.fastq.gz	dpi10_chronic5_R1.fastq.gz	ERR3728281	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/001/ERR3728281/ERR3728281_1.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 29	ERS4146135	SAMEA6380048	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	chronic Lymphocytic choriomeningitis virus infection	chronic5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 29	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 29	sequencing assay	ERX3729461	dpi10_chronic5_R2.fastq.gz	dpi10_chronic5_R2.fastq.gz	ERR3728281	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/001/ERR3728281/ERR3728281_2.fastq.gz	Lymphocytic choriomeningitis virus	10	day	chronic Lymphocytic choriomeningitis virus infection	blood
Sample 15	ERS4146136	SAMEA6380049	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 15	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 15	sequencing assay	ERX3729462	dpi10_naive1_R1.fastq.gz	dpi10_naive1_R1.fastq.gz	ERR3728282	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/002/ERR3728282/ERR3728282_1.fastq.gz	none	10	day	normal	blood
Sample 15	ERS4146136	SAMEA6380049	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 15	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 15	sequencing assay	ERX3729462	dpi10_naive1_R2.fastq.gz	dpi10_naive1_R2.fastq.gz	ERR3728282	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/002/ERR3728282/ERR3728282_2.fastq.gz	none	10	day	normal	blood
Sample 16	ERS4146137	SAMEA6380050	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 16	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 16	sequencing assay	ERX3729463	dpi10_naive2_R1.fastq.gz	dpi10_naive2_R1.fastq.gz	ERR3728283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/003/ERR3728283/ERR3728283_1.fastq.gz	none	10	day	normal	blood
Sample 16	ERS4146137	SAMEA6380050	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 16	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 16	sequencing assay	ERX3729463	dpi10_naive2_R2.fastq.gz	dpi10_naive2_R2.fastq.gz	ERR3728283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/003/ERR3728283/ERR3728283_2.fastq.gz	none	10	day	normal	blood
Sample 17	ERS4146138	SAMEA6380051	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 17	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 17	sequencing assay	ERX3729464	dpi10_naive3_R1.fastq.gz	dpi10_naive3_R1.fastq.gz	ERR3728284	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3728284/ERR3728284_1.fastq.gz	none	10	day	normal	blood
Sample 17	ERS4146138	SAMEA6380051	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 17	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 17	sequencing assay	ERX3729464	dpi10_naive3_R2.fastq.gz	dpi10_naive3_R2.fastq.gz	ERR3728284	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3728284/ERR3728284_2.fastq.gz	none	10	day	normal	blood
Sample 18	ERS4146139	SAMEA6380052	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 18	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 18	sequencing assay	ERX3729465	dpi10_naive4_R1.fastq.gz	dpi10_naive4_R1.fastq.gz	ERR3728285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/005/ERR3728285/ERR3728285_1.fastq.gz	none	10	day	normal	blood
Sample 18	ERS4146139	SAMEA6380052	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 18	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 18	sequencing assay	ERX3729465	dpi10_naive4_R2.fastq.gz	dpi10_naive4_R2.fastq.gz	ERR3728285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/005/ERR3728285/ERR3728285_2.fastq.gz	none	10	day	normal	blood
Sample 19	ERS4146140	SAMEA6380053	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 19	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 19	sequencing assay	ERX3729466	dpi10_naive5_R1.fastq.gz	dpi10_naive5_R1.fastq.gz	ERR3728286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/006/ERR3728286/ERR3728286_1.fastq.gz	none	10	day	normal	blood
Sample 19	ERS4146140	SAMEA6380053	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	normal	naive5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 19	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 19	sequencing assay	ERX3729466	dpi10_naive5_R2.fastq.gz	dpi10_naive5_R2.fastq.gz	ERR3728286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/006/ERR3728286/ERR3728286_2.fastq.gz	none	10	day	normal	blood
Sample 35	ERS4146141	SAMEA6380054	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 35	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 35	sequencing assay	ERX3729467	dpi20_acute1_R1.fastq.gz	dpi20_acute1_R1.fastq.gz	ERR3728287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/007/ERR3728287/ERR3728287_1.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 35	ERS4146141	SAMEA6380054	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 35	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 35	sequencing assay	ERX3729467	dpi20_acute1_R2.fastq.gz	dpi20_acute1_R2.fastq.gz	ERR3728287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/007/ERR3728287/ERR3728287_2.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 36	ERS4146142	SAMEA6380055	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 36	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 36	sequencing assay	ERX3729468	dpi20_acute2_R1.fastq.gz	dpi20_acute2_R1.fastq.gz	ERR3728288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728288/ERR3728288_1.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 36	ERS4146142	SAMEA6380055	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 36	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 36	sequencing assay	ERX3729468	dpi20_acute2_R2.fastq.gz	dpi20_acute2_R2.fastq.gz	ERR3728288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728288/ERR3728288_2.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 37	ERS4146143	SAMEA6380056	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 37	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 37	sequencing assay	ERX3729469	dpi20_acute3_R1.fastq.gz	dpi20_acute3_R1.fastq.gz	ERR3728289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728289/ERR3728289_1.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 37	ERS4146143	SAMEA6380056	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 37	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 37	sequencing assay	ERX3729469	dpi20_acute3_R2.fastq.gz	dpi20_acute3_R2.fastq.gz	ERR3728289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728289/ERR3728289_2.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 38	ERS4146144	SAMEA6380057	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 38	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 38	sequencing assay	ERX3729470	dpi20_acute4_R1.fastq.gz	dpi20_acute4_R1.fastq.gz	ERR3728290	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728290/ERR3728290_1.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 38	ERS4146144	SAMEA6380057	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 38	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 38	sequencing assay	ERX3729470	dpi20_acute4_R2.fastq.gz	dpi20_acute4_R2.fastq.gz	ERR3728290	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728290/ERR3728290_2.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 39	ERS4146145	SAMEA6380058	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 39	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 39	sequencing assay	ERX3729471	dpi20_acute5_R1.fastq.gz	dpi20_acute5_R1.fastq.gz	ERR3728291	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/001/ERR3728291/ERR3728291_1.fastq.gz	Lymphocytic choriomeningitis virus	20	day	acute Lymphocytic choriomeningitis virus infection	blood
